,City,Country,Date,Latitude,Longitude,Temperature,Humidity,Cloudy,Wind Speed
112,St. George's,GD,1595033385,12.06,-61.75,82.4,83,20,9.17
113,Faya,SA,1595033266,18.39,42.45,69.8,45,47,6.96
114,Port Lincoln,AU,1595033334,-34.73,135.87,60.31,47,88,21.88
115,Bambous Virieux,MU,1595033456,-20.34,57.76,69.8,68,75,13.87
116,Nouadhibou,MR,1595033626,20.93,-17.03,69.8,94,75,12.75
117,Hobart,AU,1595033165,-42.88,147.33,44.6,70,75,9.17
118,Lebu,CL,1595033486,-37.62,-73.65,52.72,83,87,19.73
119,Avarua,CK,1595033263,-21.21,-159.78,75.2,57,22,9.17
120,Buraidah,SA,1595033626,26.33,43.98,89.6,21,10,4.7
121,Goderich,CA,1595033626,43.75,-81.72,82.0,57,0,1.01
122,Ballina,AU,1595033302,-28.87,153.57,63.0,63,90,11.41
123,Reconquista,AR,1595033627,-29.15,-59.65,66.22,96,1,9.42
124,Majene,ID,1595033627,-3.54,118.97,81.27,80,1,8.77
125,Pangnirtung,CA,1595033454,66.15,-65.71,58.39,55,100,1.61
126,Belaya Gora,RU,1595033627,68.53,146.42,61.5,44,1,6.13
127,Richards Bay,ZA,1595033455,-28.78,32.04,54.61,78,0,7.92
128,Sur,OM,1595033495,22.57,59.53,86.56,63,83,3.53
129,Mizdah,LY,1595033627,31.45,12.98,71.17,70,0,10.42
130,Anloga,GH,1595033628,5.79,0.9,75.2,94,40,6.93
131,Provideniya,RU,1595033451,64.38,-173.3,50.61,89,98,4.29
132,Dehlorān,IR,1595033628,32.69,47.27,94.78,14,1,5.75
133,São Filipe,CV,1595033430,14.9,-24.5,75.15,77,10,7.92
134,East London,ZA,1595033429,-33.02,27.91,63.27,25,0,4.81
135,Homer,US,1595033371,59.64,-151.55,66.2,63,75,9.17
136,Tombouctou,ML,1595033628,20.0,-3.0,98.56,19,0,8.28
137,Whitianga,NZ,1595033628,-36.83,175.7,64.0,76,100,3.0
138,Shingū,JP,1595033628,33.73,135.98,75.2,94,75,3.36
139,Pevek,RU,1595033234,69.7,170.31,46.29,75,48,2.44
140,Yellowknife,CA,1595033296,62.46,-114.35,69.8,43,75,10.29
141,Saint-Joseph,RE,1595033302,-21.37,55.62,66.2,72,90,4.7
142,Grindavik,IS,1595033629,63.84,-22.43,44.6,75,40,26.4
143,Japura,ID,1595033629,-0.32,102.35,76.82,93,43,2.46
144,Nanortalik,GL,1595033491,60.14,-45.24,45.9,70,100,10.2
145,San Rafael,AR,1595033434,-34.62,-68.33,55.29,40,0,3.78
146,Tura,IN,1595033251,25.52,90.22,76.55,95,100,5.1
147,Bengkulu,ID,1595033167,-3.8,102.27,78.46,78,94,3.78
148,Leningradskiy,RU,1595033504,69.38,178.42,38.84,80,92,15.86
149,Castro,BR,1595033258,-24.79,-50.01,57.72,90,0,2.01
150,Lata,PT,1595033548,40.16,-8.33,73.99,65,0,2.24
151,Muros,ES,1595033428,42.78,-9.06,71.01,58,0,1.01
152,Butaritari,KI,1595033232,3.07,172.79,83.53,75,16,15.28
153,Davidson,US,1595033630,36.15,-86.78,89.6,74,1,3.36
154,Constitución,CL,1595033213,-35.33,-72.42,56.25,85,99,21.59
155,Pervomayskiy,RU,1595033630,53.25,40.29,55.67,92,100,3.47
156,Akureyri,IS,1595033630,65.68,-18.09,42.8,87,90,17.22
157,Fort Saint James,CA,1595033631,54.43,-124.25,71.51,37,22,7.9
158,Salalah,OM,1595033371,17.02,54.09,82.4,88,40,6.93
159,Eyl,SO,1595033527,7.98,49.82,80.28,58,100,33.58
160,Burnie,AU,1595033510,-41.07,145.92,48.99,76,100,13.0
161,Kangaatsiaq,GL,1595033631,68.31,-53.46,49.6,59,0,12.84
162,Palana,RU,1595033483,59.12,159.97,46.33,100,100,16.69
163,Bud,US,1595033631,39.45,-86.18,82.99,65,40,5.82
164,Bembèrèkè,BJ,1595033632,10.23,2.66,69.42,100,100,5.37
165,Atuona,PF,1595033258,-9.8,-139.03,79.41,75,19,16.84
166,Sittwe,MM,1595033632,20.15,92.9,82.63,81,100,3.4
167,São Gabriel da Cachoeira,BR,1595033623,-0.13,-67.09,73.31,95,89,1.25
168,Namatanai,PG,1595033632,-3.67,152.43,83.77,72,84,5.46
169,Rome,US,1595033632,43.21,-75.46,75.2,69,1,5.82
170,Chaiya,TH,1595033632,9.39,99.2,77.0,100,40,3.36
171,Daphne,US,1595033469,30.6,-87.9,87.8,83,1,4.85
172,Nishihara,JP,1595033633,26.18,127.76,84.2,89,75,9.17
173,Mahibadhoo,MV,1595033486,3.78,72.97,83.66,74,100,12.95
174,Brzesko,PL,1595033633,49.97,20.61,60.01,96,100,1.83
175,Ulladulla,AU,1595033633,-35.35,150.47,57.99,58,90,8.05
176,Altamont,US,1595033633,42.21,-121.74,87.8,18,1,17.22
177,Thompson,CA,1595033434,55.74,-97.86,69.8,60,90,3.36
178,La Orilla,MX,1595033634,17.98,-102.23,83.23,77,0,6.53
179,Tapolca,HU,1595033634,46.88,17.44,55.4,87,19,2.24
180,Aksha,RU,1595033634,50.28,113.29,61.61,51,100,7.72
181,Ascension,US,1595033634,30.22,-90.9,82.4,69,84,3.36
182,Grand Gaube,MU,1595033495,-20.01,57.66,68.0,75,3,5.01
183,Svetlaya,RU,1595033514,46.54,138.33,75.18,65,5,8.55
184,Görele,TR,1595033634,41.03,39.0,75.2,88,75,3.36
185,Torbay,CA,1595033434,47.67,-52.73,50.0,100,90,13.87
186,Ribeira Grande,PT,1595033313,38.52,-28.7,70.07,79,16,13.38
187,Katsuura,JP,1595033501,35.13,140.3,73.4,100,75,3.36
188,Raja,SS,1595033635,8.46,25.68,69.49,88,100,5.01
189,Kanye,BW,1595033635,-24.97,25.33,38.28,64,0,3.27
190,Tiksi,RU,1595033305,71.69,128.87,46.13,67,96,12.1
191,Soyo,AO,1595033485,-6.13,12.37,70.63,89,35,1.34
192,Tomatlán,MX,1595033164,19.93,-105.25,84.94,63,4,4.92
193,Angoche,MZ,1595033635,-16.23,39.91,69.53,76,29,12.64
194,Garden City,US,1595033635,42.33,-83.33,84.99,58,20,9.17
195,Port Moresby,PG,1595033297,-9.44,147.18,78.8,78,75,16.11
196,Santa Maria,BR,1595033336,-29.68,-53.81,59.63,95,35,6.02
197,Klyuchi,RU,1595033636,52.27,79.17,70.93,64,96,14.97
198,Arbuzynka,UA,1595033636,47.91,31.32,60.96,78,0,7.9
199,Phanom Thuan,TH,1595033636,14.13,99.7,82.74,73,64,3.58
200,Tessalit,ML,1595033445,20.2,1.01,91.81,21,0,9.69
201,Podporozh'ye,RU,1595033636,60.91,34.17,48.33,89,0,2.86
202,Ocós,GT,1595033636,14.51,-92.19,86.0,79,75,4.7
203,Makakilo City,US,1595033542,21.35,-158.09,89.6,62,20,11.41
204,Norman Wells,CA,1595033260,65.28,-126.83,69.8,52,75,5.82
205,Kastamonu Province,TR,1595033551,41.5,33.67,53.15,87,0,1.45
206,Lázaro Cárdenas,MX,1595033340,17.96,-102.2,83.57,77,0,6.51
207,Okhotsk,RU,1595033485,59.38,143.3,58.23,87,99,6.69
208,Rawson,AR,1595033637,-43.3,-65.1,51.69,65,39,19.57
209,Falkenberg,SE,1595033637,56.91,12.49,60.01,93,100,2.24
210,Husavik,IS,1595033520,66.04,-17.34,42.8,87,90,17.22
211,Teguise,ES,1595033637,29.06,-13.56,75.2,73,0,13.87
212,Orange,US,1595033638,33.7,-117.77,81.0,60,20,10.29
213,Santa Rosa,PH,1595033391,14.31,121.11,89.01,74,84,5.82
214,São José da Coroa Grande,BR,1595033536,-8.9,-35.15,74.59,86,31,13.78
215,Perevoz,RU,1595033638,55.6,44.54,54.32,92,88,3.13
216,Meulaboh,ID,1595033356,4.14,96.13,76.21,90,73,6.24
217,Nouakchott,MR,1595033453,18.09,-15.98,77.0,83,0,14.99
218,Kobryn,BY,1595033638,52.21,24.36,57.92,90,0,6.73
219,Port Keats,AU,1595033638,-14.25,129.55,80.65,24,0,7.52
220,Kuytun,RU,1595033638,54.34,101.5,55.35,78,0,11.36
221,Ketchikan,US,1595033639,55.34,-131.65,57.2,87,90,10.29
222,San Quintín,MX,1595033535,30.48,-115.95,72.05,69,0,14.36
223,Felipe Carrillo Puerto,MX,1595033639,19.58,-88.05,80.83,75,100,4.05
224,Roald,NO,1595033315,62.58,6.13,54.0,81,2,4.7
225,Campeche,MX,1595033639,19.0,-90.5,81.09,75,25,3.31
226,Saskylakh,RU,1595033431,71.92,114.08,52.84,73,95,7.83
227,Boddam,GB,1595033639,57.47,-1.78,53.6,66,0,6.93
228,Morón,AR,1595033639,-34.65,-58.62,55.0,94,100,4.0
229,Lesnoy,RU,1595033640,57.62,63.08,68.5,75,7,6.98
230,Noumea,NC,1595033640,-22.28,166.46,77.0,44,0,5.82
231,Coyhaique,CL,1595033546,-45.58,-72.07,32.0,86,90,1.12
232,Teeli,RU,1595033640,51.03,90.23,65.46,59,0,1.25
233,Killarney,IE,1595033640,52.05,-9.52,59.22,93,100,5.57
234,Mildmay,CA,1595033640,44.05,-81.12,73.99,72,0,1.01
235,Saint George,US,1595033437,37.1,-113.58,102.2,12,1,17.22
236,Lavrentiya,RU,1595033252,65.58,-171.0,49.12,71,0,6.11
237,Charters Towers,AU,1595033641,-20.1,146.27,65.41,41,22,5.23
238,Praia,CV,1595033641,14.92,-23.51,75.2,73,40,8.05
239,Khatanga,RU,1595033243,71.97,102.5,40.77,92,100,9.73
240,Sungai Penuh,ID,1595033426,-2.08,101.38,70.0,86,15,1.3
241,Zeya,RU,1595033383,53.75,127.27,73.13,88,100,5.97
242,Carbonear,CA,1595033641,47.73,-53.21,50.0,100,90,13.87
243,Esna,EG,1595033641,25.29,32.55,84.2,39,0,2.24
244,Sitka,US,1595033543,57.05,-135.33,55.4,93,90,8.05
245,São Manuel,BR,1595033642,-22.73,-48.57,77.0,53,0,2.24
246,Talara,PE,1595033642,-4.58,-81.27,61.88,88,0,14.27
247,Mataram,ID,1595033642,-8.58,116.12,80.6,78,40,12.75
248,Russell,US,1595033129,32.35,-85.2,91.4,59,1,3.36
249,Ponta Delgada,PT,1595033432,37.73,-25.67,69.8,77,75,6.93
250,Pilot Butte,CA,1595033642,50.47,-104.42,77.0,50,75,14.99
251,Christchurch,NZ,1595033468,-43.53,172.63,51.01,100,100,5.82
252,Vanimo,PG,1595033515,-2.67,141.3,83.98,73,100,0.83
253,General Pico,AR,1595033344,-35.66,-63.76,51.93,81,99,9.26
254,Pacific Grove,US,1595033318,36.62,-121.92,70.0,60,1,10.29
255,Saint-Junien,FR,1595033643,45.88,0.9,62.6,67,0,4.7
256,Abonnema,NG,1595033643,4.71,6.79,75.22,91,100,2.57
257,Kholtoson,RU,1595033643,50.3,103.31,60.49,56,70,2.75
258,Jalu,LY,1595033383,29.03,21.55,78.48,53,0,8.3
259,Morondava,MG,1595033530,-20.28,44.28,67.33,57,0,15.46
260,Saint Johnsbury,US,1595033644,44.42,-72.02,69.8,83,0,1.1
261,Kudahuvadhoo,MV,1595033644,2.67,72.89,84.22,69,100,5.79
262,Puri,IN,1595033644,19.8,85.85,84.78,78,31,15.97
263,Grajaú,BR,1595033644,-5.82,-46.14,75.63,49,0,4.09
264,Hirara,JP,1595033432,24.8,125.28,87.8,79,75,13.87
265,Atbasar,KZ,1595033644,51.8,68.33,73.87,71,96,13.33
266,Boyabat,TR,1595033644,41.47,34.77,59.72,75,2,1.32
267,Umluj,SA,1595033370,25.02,37.27,80.51,63,97,2.73
268,Northam,GB,1595033645,51.03,-4.22,59.0,94,85,8.01
269,Fort Nelson,CA,1595033645,58.81,-122.7,71.6,53,75,9.17
270,Shitkino,RU,1595033645,56.37,98.35,55.11,59,72,8.84
271,Dedza,MW,1595033645,-14.38,34.33,44.47,100,92,6.51
272,Saint-Pierre,RE,1595033495,-21.34,55.48,66.2,72,90,4.7
273,Giyani,ZA,1595033646,-23.3,30.72,47.88,57,0,3.83
274,Cabadiangan,PH,1595033646,9.75,122.47,83.68,69,100,3.96
275,Aranos,NA,1595033549,-24.13,19.12,43.74,54,0,10.45
276,Isangel,VU,1595033513,-19.55,169.27,77.0,61,20,10.29
277,Ostrovnoy,RU,1595033429,68.05,39.51,53.26,65,73,2.1
278,Elizabeth City,US,1595033646,36.29,-76.25,87.8,74,1,5.82
279,Casablanca,MA,1595033617,33.59,-7.62,69.8,88,2,4.7
280,Hong Kong,HK,1595033479,22.29,114.16,90.0,79,87,8.99
281,Port Hedland,AU,1595033374,-20.32,118.57,69.8,77,1,3.36
282,General Cepeda,MX,1595033647,25.38,-101.45,84.2,39,75,6.93
283,Matara,LK,1595033647,5.95,80.54,79.11,85,99,8.81
284,Puerto Ayora,EC,1595033447,-0.74,-90.35,69.01,91,16,3.0
285,Yulara,AU,1595033260,-25.24,130.99,53.6,30,12,3.36
286,Selma,US,1595033435,36.57,-119.61,98.6,23,1,5.91
287,Kruisfontein,ZA,1595033376,-34.0,24.73,55.63,34,0,11.16
288,North Bend,US,1595033539,43.41,-124.22,73.99,63,1,24.16
289,Sibolga,ID,1595033516,1.74,98.78,77.9,82,67,2.84
290,Ruteng,ID,1595033648,-8.61,120.47,69.28,84,35,2.46
291,Suba,PH,1595033648,10.84,121.01,84.72,74,100,14.97
292,Cherskiy,RU,1595033452,68.75,161.3,61.61,55,100,7.96
293,Senanga,ZM,1595033648,-16.12,23.27,45.64,58,0,6.08
294,Hervey Bay,AU,1595033209,-25.3,152.85,66.99,58,2,8.99
295,Dingle,PH,1595033383,11.0,122.67,84.18,75,100,8.05
296,Port Alfred,ZA,1595033439,-33.59,26.89,63.21,28,0,12.06
297,Lukulu,ZM,1595033649,-14.37,23.24,44.44,66,0,5.88
298,Yuancheng,CN,1595033649,36.65,107.79,63.79,70,100,25.1
299,Willowmore,ZA,1595033649,-33.29,23.49,44.2,49,0,5.39
300,Phan Thiet,VN,1595033649,10.93,108.1,81.95,80,32,3.91
301,The Valley,AI,1595033428,18.22,-63.06,82.99,69,20,9.17
302,Goundam,ML,1595033650,16.41,-3.67,93.45,38,19,7.2
303,Alofi,NU,1595033512,-19.06,-169.92,80.6,69,3,11.41
304,Cabo San Lucas,MX,1595033283,22.89,-109.91,89.6,61,5,14.99
305,Narasannapeta,IN,1595033589,18.42,84.05,82.08,83,100,4.9
306,Dwārka,IN,1595033650,22.24,68.97,83.43,86,0,9.57
307,Juneau,US,1595033488,58.3,-134.42,60.8,67,90,21.92
308,Jablah,SY,1595033650,35.36,35.93,69.8,77,40,6.93
309,Calbuco,CL,1595033650,-41.77,-73.13,50.0,87,75,14.99
310,Longyearbyen,SJ,1595033440,78.22,15.64,48.2,70,40,11.41
311,Donghai,CN,1595033651,22.95,115.64,87.49,70,100,10.76
312,Sorong,ID,1595033651,-0.88,131.25,81.46,78,0,6.49
313,Pápa,HU,1595033651,47.33,17.47,55.4,87,20,9.17
314,Huarmey,PE,1595033386,-10.07,-78.15,59.88,84,4,9.1
315,Francistown,BW,1595033652,-21.17,27.51,41.63,76,0,7.02
316,La Romana,DO,1595033652,18.43,-68.97,78.8,88,75,8.55
317,Kavaratti,IN,1595033278,10.57,72.64,83.14,79,100,17.87
318,Chifeng,CN,1595033652,42.27,118.96,68.67,78,100,9.31
319,Waseca,US,1595033652,44.08,-93.51,82.99,78,75,12.75
320,Gusino,RU,1595033652,54.72,31.37,51.51,86,48,3.78
321,Kimbe,PG,1595033652,-5.55,150.14,81.45,82,96,3.8
322,Limeira,BR,1595033653,-22.56,-47.4,68.0,68,0,9.17
323,Korla,CN,1595033653,41.76,86.15,81.0,65,53,6.91
324,Aksarka,RU,1595033502,66.56,67.8,52.47,91,100,11.83
325,Gadsden,US,1595033380,34.01,-86.01,89.6,59,1,3.36
326,Gariāband,IN,1595033653,20.64,82.06,76.53,83,31,3.87
327,São João da Barra,BR,1595033653,-21.64,-41.05,69.78,77,0,11.01
328,Puerto Baquerizo Moreno,EC,1595033653,-0.9,-89.6,67.46,92,5,9.69
329,Thunder Bay,CA,1595033378,48.4,-89.32,78.8,47,75,11.41
330,Conakry,GN,1595033654,9.54,-13.68,78.67,80,86,12.08
331,Gaoual,GN,1595033654,11.75,-13.2,72.01,92,100,2.77
332,Swift Current,CA,1595033654,50.28,-107.8,73.4,56,1,6.93
333,Kupang,ID,1595033654,-10.17,123.58,84.2,62,20,18.34
334,Kalach-na-Donu,RU,1595033654,48.69,43.53,71.6,43,40,11.18
335,Chernyshevskiy,RU,1595033517,63.01,112.47,56.93,75,91,8.52
336,Marshfield,US,1595033643,44.67,-90.17,82.4,61,1,12.75
337,Maniitsoq,GL,1595033281,65.42,-52.9,53.02,68,21,5.1
338,Laguna,US,1595033445,38.42,-121.42,89.6,29,1,9.17
339,Lircay,PE,1595033655,-12.99,-74.72,47.32,66,0,2.82
340,Santa Vitória do Palmar,BR,1595033524,-33.52,-53.37,57.34,94,77,10.09
341,At-Bashi,KG,1595033655,41.17,75.81,59.72,61,46,0.36
342,Kartārpur,IN,1595033655,31.44,75.5,87.48,61,1,6.15
343,Mehtar Lām,AF,1595033655,34.67,70.21,80.6,65,75,6.93
344,Petropavl,KZ,1595033656,54.88,69.16,66.2,88,92,6.71
345,Kailua,US,1595033656,21.4,-157.74,89.6,74,75,11.41
346,Pisco,PE,1595033499,-13.7,-76.22,60.8,82,0,13.87
347,Sabha,LY,1595033656,27.04,14.43,85.42,28,0,12.3
348,Tuatapere,NZ,1595033448,-46.13,167.68,39.0,83,0,3.0
349,San Policarpo,PH,1595033657,12.18,125.51,84.09,75,100,9.84
350,Sørland,NO,1595033438,67.67,12.69,54.91,82,16,22.24
351,Hurghada,EG,1595033657,27.26,33.81,86.0,37,0,19.46
352,Gravdal,NO,1595033657,68.12,13.5,54.39,83,66,17.65
353,Iporá,BR,1595033657,-16.44,-51.12,68.07,44,0,4.27
354,Ambovombe,MG,1595033657,-25.17,46.08,64.62,72,71,9.37
355,Ust-Nera,RU,1595033657,64.57,143.2,67.06,35,100,4.99
356,Dengzhou,CN,1595033658,37.81,120.75,72.48,63,92,12.37
357,Dunedin,NZ,1595033327,-45.87,170.5,46.99,75,97,27.0
358,Sakakah,SA,1595033374,29.97,40.21,84.2,12,0,3.36
359,Darnah,LY,1595033658,32.77,22.64,74.43,83,0,15.7
360,Karratha,AU,1595033511,-20.74,116.85,72.82,61,100,2.86
361,Teahupoo,PF,1595033658,-17.83,-149.27,73.4,94,75,5.82
362,Kontagora,NG,1595033517,10.4,5.47,71.91,94,100,4.43
363,Neturhāt,IN,1595033659,23.48,84.27,72.0,94,100,3.65
364,Cao Bang,VN,1595033659,22.67,106.25,79.86,87,99,4.09
365,Tupik,RU,1595033659,54.43,119.93,68.18,65,35,1.77
366,Les Cayes,HT,1595033659,18.2,-73.75,79.79,79,98,3.56
367,Chapada dos Guimarães,BR,1595033408,-15.46,-55.75,82.4,26,0,3.36
368,Kaitangata,NZ,1595033260,-46.28,169.85,42.01,71,0,1.99
369,Likasi,CD,1595033660,-10.98,26.73,43.03,84,0,5.19
370,Zhigalovo,RU,1595033660,54.81,105.16,57.6,71,73,4.92
371,Vila Velha,BR,1595033244,-20.33,-40.29,71.01,83,75,3.78
372,Maltahöhe,NA,1595033660,-24.83,16.98,42.55,54,0,8.97
373,Half Moon Bay,US,1595033499,37.46,-122.43,79.0,82,90,11.41
